order_book_id,date,low,num_trades,high,open,close,volume,total_turnover
000906.XSHG,2016-01-04,4084.4899,0.0,4408.8056,4407.3646,4084.6002,19338567200.0,261057235642.5
000906.XSHG,2016-01-05,3946.53,0.0,4130.5118,3956.6398,4075.974,27554520900.0,352734384465.3
000906.XSHG,2016-01-06,4065.5456,0.0,4159.2354,4083.6988,4157.2277,24689657000.0,297298673599.3
000906.XSHG,2016-01-07,3839.6894,0.0,4086.3709999999996,4086.3709999999996,3848.8957,7252938300.0,81912340404.3
000906.XSHG,2016-01-08,3760.4686,0.0,3991.1291,3940.1054,3923.2049,29708905500.0,342432868460.0
000906.XSHG,2016-01-11,3706.138,0.0,3900.1965,3851.4049,3706.138,29023912400.0,317583691284.3
000906.XSHG,2016-01-12,3667.9562,0.0,3758.8632,3724.1542,3726.6516,22013101600.0,247776109372.0
000906.XSHG,2016-01-13,3639.8816,0.0,3776.5419,3752.7139,3639.8816,20678989500.0,229342785318.6
000906.XSHG,2016-01-14,3536.7645,0.0,3735.7309,3541.2895,3729.3636,22678911800.0,249026706436.3
000906.XSHG,2016-01-15,3582.6195,0.0,3727.2786,3704.2018,3604.0069,21323231800.0,234160044602.2
000906.XSHG,2016-01-18,3538.6205,0.0,3669.3272,3540.4321,3628.9464,17359817600.0,196438601453.9
000906.XSHG,2016-01-19,3615.5394,0.0,3748.3790000000004,3628.1695,3743.4342,21563490800.0,249093186589.2
000906.XSHG,2016-01-20,3669.1228,0.0,3754.1507,3721.5619,3693.035,22259802200.0,256707843826.7
000906.XSHG,2016-01-21,3572.1116,0.0,3725.3431,3642.8413,3572.1116,19307249800.0,222411498933.4
000906.XSHG,2016-01-22,3534.6257,0.0,3635.9951,3611.6036,3615.0716,15978179600.0,181315042925.2
000906.XSHG,2016-01-25,3607.6595,0.0,3664.4523,3637.3154,3638.4801,14684857500.0,164455574520.2
000906.XSHG,2016-01-26,3397.1525,0.0,3609.2539,3601.2221,3403.7965,21237783800.0,225354748501.5
000906.XSHG,2016-01-27,3259.2788,0.0,3429.285,3416.8339,3382.1626,22015348400.0,222352602578.9
000906.XSHG,2016-01-28,3264.0746,0.0,3390.8884,3352.0820000000012,3276.2691,16656083300.0,168816614194.5
000906.XSHG,2016-01-29,3272.8253,0.0,3410.8506,3276.229000000001,3387.1124,18566335100.0,187766067271.3
000906.XSHG,2016-02-01,3297.8376,0.0,3389.562,3379.4612,3337.7989,15151145600.0,153794786432.2
000906.XSHG,2016-02-02,3339.6295,0.0,3430.208,3339.6499,3420.4224,15517392400.0,164414410457.0
000906.XSHG,2016-02-03,3361.2814,0.0,3423.4862,3384.0727,3414.164,14066972500.0,145442012876.2
000906.XSHG,2016-02-04,3427.5098,0.0,3479.2299,3427.5098,3463.5209999999997,16286370600.0,174776563245.2
000906.XSHG,2016-02-05,3435.1192,0.0,3470.9836,3463.5996,3436.1635,13292635300.0,142765191312.6
000906.XSHG,2016-02-15,3340.263,0.0,3440.5291,3342.6963,3422.8134,12655068700.0,134636352336.2
000906.XSHG,2016-02-16,3440.2524,0.0,3545.2235,3440.2524,3538.4833,19545678600.0,210835397123.7
000906.XSHG,2016-02-17,3521.7653,0.0,3575.5414,3533.759,3572.2556,21887412700.0,230136348340.6
000906.XSHG,2016-02-18,3556.6079,0.0,3608.22,3592.3485,3561.8272,21811626200.0,232728346663.7
000906.XSHG,2016-02-19,3538.0552,0.0,3581.1888,3554.0151,3564.0517,15771851100.0,177698457792.2
000906.XSHG,2016-02-22,3590.5624,0.0,3650.223,3604.0914,3641.283,23526748900.0,252485690204.1
000906.XSHG,2016-02-23,3572.6534,0.0,3643.9965,3639.7016,3611.1742,20044226700.0,224033260477.7
000906.XSHG,2016-02-24,3566.4179999999997,0.0,3635.2292,3596.4327,3634.9219,20160222900.0,224032741349.3
000906.XSHG,2016-02-25,3377.8051,0.0,3628.3374,3628.2940000000003,3392.4252,26849840500.0,283090092620.9
000906.XSHG,2016-02-26,3360.5006,0.0,3441.6039,3419.0775,3420.5215,18680762400.0,194287898863.0
000906.XSHG,2016-02-29,3253.3953,0.0,3408.3832,3408.1982,3309.7601,21604417300.0,211816737816.0
000906.XSHG,2016-03-01,3288.6656,0.0,3396.5143,3314.9467,3375.27,19684948800.0,197713631570.6
000906.XSHG,2016-03-02,3375.8211,0.0,3528.4365,3376.3457,3523.7971,28664429900.0,281988370225.7
000906.XSHG,2016-03-03,3515.9525,0.0,3567.1498,3523.7669,3533.8348,30163310400.0,301807710267.2
000906.XSHG,2016-03-04,3471.1502,0.0,3554.5398,3521.0285,3535.4706,32800248200.0,322975478623.9
000906.XSHG,2016-03-07,3537.7549,0.0,3593.7156,3559.4011,3567.6359,21963261800.0,222257624193.4
000906.XSHG,2016-03-08,3445.9275,0.0,3572.9881,3563.5785,3572.0462,23438539800.0,235127196019.0
000906.XSHG,2016-03-09,3469.3579,0.0,3523.6921,3497.0629,3516.6148,18408156900.0,187103535708.2
000906.XSHG,2016-03-10,3451.0654,0.0,3525.5820000000012,3503.7906,3451.533,13563160800.0,145478549945.6
000906.XSHG,2016-03-11,3411.3447,0.0,3466.4046,3421.8356,3453.4592,12313358500.0,129817283483.9
000906.XSHG,2016-03-14,3478.6054,0.0,3566.9326,3481.4629999999997,3524.5224,19710607400.0,218692591307.1
000906.XSHG,2016-03-15,3479.7286,0.0,3525.3718,3517.796,3523.0005,16458084100.0,183909892373.3
000906.XSHG,2016-03-16,3512.8366,0.0,3540.9515,3522.1506,3521.9004,18222378000.0,195671834639.7
000906.XSHG,2016-03-17,3514.8017,0.0,3604.0806,3532.1385,3582.3759,20623753500.0,242781643689.7
000906.XSHG,2016-03-18,3591.4573,0.0,3681.5412,3597.2592,3657.5694,32246290500.0,367773940944.2
000906.XSHG,2016-03-21,3689.5711,0.0,3760.1184,3695.2299,3747.7731,36509497800.0,423597965556.9
000906.XSHG,2016-03-22,3707.6108,0.0,3751.0661,3723.6449,3724.1096,26874255000.0,334127735233.5
000906.XSHG,2016-03-23,3697.6326,0.0,3743.7051,3713.7263,3740.2601,21534061000.0,274125666795.8
000906.XSHG,2016-03-24,3677.9159,0.0,3729.9562,3710.1161,3677.9252,23457086500.0,297311775807.0
000906.XSHG,2016-03-25,3668.0018,0.0,3707.4156,3671.7059,3701.4741,17562664200.0,218410555678.3
000906.XSHG,2016-03-28,3661.4652,0.0,3742.6439,3715.5807,3671.3891,19722426300.0,248121903926.9
000906.XSHG,2016-03-29,3604.1116,0.0,3677.1544,3671.3062,3622.7029,17629872200.0,213794376762.9
000906.XSHG,2016-03-30,3654.4914,0.0,3727.2587,3654.4914,3727.2587,20586380400.0,257232513104.0
000906.XSHG,2016-03-31,3720.9336,0.0,3759.9677,3742.61,3731.9846,21646779500.0,277484008261.4
000906.XSHG,2016-04-01,3665.7448,0.0,3735.8774,3723.7464,3729.5816,20334167100.0,236286160698.2
000906.XSHG,2016-04-05,3714.6496,0.0,3800.0578,3723.0304,3793.2189,25159082100.0,296656342370.5
000906.XSHG,2016-04-06,3762.4345,0.0,3802.3812,3777.5073,3794.0156,22487088400.0,276616621841.4
000906.XSHG,2016-04-07,3737.2401,0.0,3810.5738,3804.9132,3737.6884,22233661700.0,273625514079.2
000906.XSHG,2016-04-08,3674.902,0.0,3722.7153,3712.5018,3707.6815,18967579900.0,231194222608.7
